movie title,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,path
Alpha Squad Seven,"['Action', 'Comedy', 'Sci-Fi']",none,[],See company contact information,"['See producer', 'See preliminary cast']",See writer,/title/tt4677890/
Helix,"['Action', 'Mystery', 'Sci-Fi']",A recently promoted cop's lavish new lifestyle is jeopardized when the central computer system that governs his futuristic city pins him for a murder he didn't commit. Now he must return to the ruins he once called home in order to prove his innocence.,[],Eric Petey,"['Marc Petey', 'Robert L. Duncan', 'David Stuart', 'Eric Petey', 'Eric Petey']",Eric Petey,/title/tt1764355/
Concrete Rose,"['Action', 'Drama', 'Mystery']","Inspired by a true story, Concrete Rose the very first Latino film in South Bend Indiana history to be made. ""Concrete Rose"" is about the daughter of a powerful man who falls in love with a guitar player and the trails they go through to be together from a forbidding father. Roma... Read all",[],Jon Villanueva,"['Joseph T. Campos', 'Jon Villanueva', 'Selene Morales', 'Jon Villanueva', 'Jon Villanueva']",Jon Villanueva,/title/tt11483068/
Strong Hawk: My Sister's Keeper,"['Action', 'Adventure', 'Sci-Fi']",Strong Hawk: My Sister's Keeper is about a family of sisters who lost their parents over a decade ago and now discover they have powers. They attempt to help their community by acting as vigilantes but their heroic efforts make the ladies vulnerable to their natural enemies. This... Read all,[],Ramasses Head,"['Lynell Aldafari', 'Charles Alexander', 'Kara Anderson', 'Ramasses Head', 'Damon A. Hart']",Damon A. Hart,/title/tt9348566/
Prison-a-Go-Go!,"['Action', 'Comedy']","A women-in-prison action comedy featuring girls running amok! Multiple Shower Scenes! Kung Fu Food Fights! Mutant Zombies! Evil Scientists, Prominent Product Placement, and Mud Wrastlin!","['shower', 'women in prison', 'female removes her clothes', 'nice girl in prison', 'white panties', 'panties', 'bare breasts', 'topless female nudity', 'scantily clad female', 'cleavage']",Barak Epstein,"['Mike Wiebe', 'Rhonda Shear', 'Mary Woronov', 'Laurie Walton', 'Barak Epstein']",Barak Epstein,/title/tt0339534/
Ichi,"['Action', 'Crime', 'Drama']","Ichi is a blind woman who roams about town with her shamisen (a three-stringed Japanese guitar), but she has exceptional sword skills with which she fights off yakuza and other villains.","['japanese woman', 'japanese', 'blind woman', 'blind prostitute', 'asian', 'blind protagonist', 'rape and revenge', 'sword', 'female protagonist', 'attempted rape']",Fumihiko Sori,"['Taeko Asano', 'Haruka Ayase', 'Shidô Nakamura', 'Yôsuke Kubozuka', 'Fumihiko Sori']",Kan Shimozawa,/title/tt1060256/
Talons of the Eagle,"['Action', 'Adventure']","After 3 DEA agents are killed by Mr. Li, martial arts champion Tyler Wilson is sent on assignment to Toronto and teams up with Michael Reeds. Wilson and Reeds enter a martial arts tournament, where they end up saving Mr. Li from being killed by a rival crime boss. Li invites the ... Read all","['sex scene', 'lingerie', 'violence', 'undercover agent', 'nudity', 'murder', 'toronto ontario canada', 'martial arts tournament', 'crime boss', 'evidence']",Michael Kennedy,"['Jalal Merhi', 'Billy Blanks', 'James Hong', 'Michael Kennedy', 'J. Stephen Maunder']",J. Stephen Maunder,/title/tt0105530/
Unda,"['Action', 'Comedy', 'Thriller']",The film narrates the events that occur when a unit of policemen from Kerala reach the Naxalite prone areas in North India for election duty.,['election'],Khalid Rahman,"['Harshad', 'Ashik Padinjattil', 'Mammootty', 'Asif Ali', 'Easwari Rao']",Khalid Rahman,/title/tt7581552/
I am not a terrorist,['Action'],Islam and terrorism have nothing in common. The lack of purpose in life encourages young people to join the radicals. The main goal of the film is to show the audience the reverse side of the romanticized life of ISIS fighters.,[],Mukhammad Ali Iskandarov,"['Shakhrukh Rakhimov', 'Bekzod Tadjiev', 'Mukhammad Ali Iskandarov', 'Mahkamov Otabek', 'Shakhrukh Rakhimov']",Mahkamov Otabek,/title/tt17318026/
Spaghettiman,"['Action', 'Comedy', 'Crime']","Clark doesn't care about you. He doesn't care about the world. He barely cares about himself. But after an incident with an old bowl of spaghetti and a malfunctioning microwave, he becomes a superhero that can fight crime with the power of spaghetti. However, you have to pay him.",[],Mark Potts,"['Benjamin Crutcher', 'Mark Potts', 'Benjamin Crutcher', 'Winston Carter', 'Brand Rackley']",Winston Carter,/title/tt4626970/
Captain Sindbad,"['Action', 'Adventure', 'Family']","To marry Princess Jana, Captain Sindbad must battle deadly obstacles and fight El Kerim, the evil ruler who also wants to marry the princess.","['character name as title', 'sinbad the sailor character', 'two word title', 'psychotronic film', 'turned into an animal', 'hideout', 'female nudity', 'nudity', 'elongating', 'wedding']",Byron Haskin,"['Guy Endore', 'Guy Williams', 'Heidi Brühl', 'Pedro Armendáriz', 'Byron Haskin']",Ian McLellan Hunter,/title/tt0056904/
Eiga Doraemon: Nobita no getsumen tansaki,"['Animation', 'Action', 'Adventure']","Nobita saw a moon turned yellow last night and told his class about it but they think it's funny. Doraemon gives him the ""History Explorers Club Badge"" and discovers there's life on the moon. Until a new student changed him forever.","['school bullies', 'school', 'mother', 'father', 'bedroom', 'portal door', 'moon', 'land rover', 'robot', 'security guard']",Jeong-beom Lee,"['Fujio F. Fujiko', 'Jeong-beom Lee', 'Wasabi Mizuta', 'Megumi Ohara', 'Yumi Kakazu']",Shinnosuke Yakuwa,/title/tt9735672/
Main Tera Hero,"['Action', 'Comedy', 'Romance']","Seenu and Sunaina fall in love with each other when he saves her from a corrupt policeman who wishes to marry her. Meanwhile, Ayesha, a girl Seenu meets on a train journey, wants to marry him.","['love at first sight', 'male objectification', 'gangster', 'college', 'police officer', 'kidnapping', 'statue of a god', 'kiss', 'helicopter', 'hero']",David Dhawan,"['Milap Zaveri', 'Varun Dhawan', ""Ileana D'Cruz"", 'Nargis Fakhri', 'David Dhawan']",Tushar Hiranandani,/title/tt2762334/
