movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path
Black Rose,not-released,no-rating,0,['Crime'],,[],Sampath Nandi,"['Urvashi Rautela', 'Sampath Nandi', 'Sampath Nandi', 'Urvashi Rautela', 'Sampath Nandi']",Sampath Nandi,-2014,/title/tt3266724/
Blackwater,1 hour 28 minutes,3.3,198,"['Action', 'Adventure', 'Horror']",Four young women tourists are hunted by ruthless woodsmen in the Florida Everglades.,"['drunkenness', 'drunk woman', 'everglades', 'swamp', 'survival', 'wilderness', 'assault', 'suspense']",Bill Rogers,"['R. Douglas Zipperer', 'Wilson Hawthorne', 'Bill Schreiber', 'Georgia Chris', 'Amy Simon']",Bill Schreiber,-2007,/title/tt1104684/
Lumberjack Man,not-released,4.2,1.3K,"['Action', 'Comedy', 'Horror']","As the staff of Good Friends Church Camp prepares for a spring break filled with ""Fun Under the Son"", a demon logger rises from his sap boiler to wreak his vengeance and feast on flapjacks soaked in the blood of his victims.","['topless female nudity', 'murdered with an axe', 'slasher', 'axe wielding maniac', 'backwoods slasher', 'parody', '80s slasher', 'supernatural power', 'supernatural serial murder', 'camp']",Josh Bear,"['Bill Muehl', 'Matt Entin', 'Michael Madsen', 'Ciara Flynn', 'Jarrett King']",Josh Bear,-2015,/title/tt3201722/
Aaj Ka Arjun,not-released,4.6,626,"['Action', 'Crime', 'Drama']","Bhim Singh is an orphan who lives a poor life-style in a small community. He is the guardian to his only sister, Laxmi, who he has educated in the city, she meets Ajit Singh the son of Thakur Bhupendra Singh and both falls in love and gets married with the blessings of Bhim, but ... Read all",[],K.C. Bokadia,"['Jaya Prada', 'Radhika Sarathkumar', 'K.C. Bokadia', 'Amitabh Bachchan', 'Jaya Prada']",Amitabh Bachchan,-1990,/title/tt0098976/
The Hunters,1 hour 48 minutes,6.4,1.5K,"['Action', 'Drama', 'Romance']","In 1952, during the Korean War, two American pilots become bitter enemies over the same woman but must shelf their personal feud when confronted by deadly Chinese MIG fighter jets in battle.","['korean war', 'jet fighter', 'based on novel', 'dysfunctional marriage', 'romantic rivalry', 'male male relationship', 'alcoholism', 'punched in the face', 'cigar', 'beer']",Dick Powell,"['James Salter', 'Robert Mitchum', 'Robert Wagner', 'Richard Egan', 'Dick Powell']",Wendell Mayes,-1958,/title/tt0051750/
The Hunters,1 hour 53 minutes,7,8.6K,"['Crime', 'Thriller']","A Stockholm cop moves back home to his brother near Norway and Finland. He investigates out of control deer poaching. He confiscates rifles with no permits. Everybody, even his brother and local cops, are against him. Things escalate.","['hunt', 'norrbotten sweden', 'northern sweden', 'police procedural', 'corrupt police', 'racism', 'funeral', 'brother brother estrangement', 'violence', 'shot to death']",Kjell Sundvall,"['Björn Carlström', 'Rolf Lassgård', 'Lennart Jähkel', 'Jarmo Mäkinen', 'Kjell Sundvall']",Kjell Sundvall,-1958,/title/tt0051750/
Maneater,not-released,no-rating,0,"['Action', 'Horror', 'Thriller']","After an accident during their vacations on a paradisiac island, a group of friends is stalked by a large shark.",[],Justin Lee,"['Shane West', 'Nicky Whelan', 'Jeff Fahey', 'Justin Lee', 'Justin Lee']",Justin Lee,,/title/tt15262370/
Rakhta Charitra 2,not-released,6.5,2.9K,"['Action', 'Biography', 'Crime']","After avenging the death of his father and brother, a man must now content with another vengeful male.","['murder', 'revenge']",Ram Gopal Varma,"['Shatrughan Sinha', 'Vivek Oberoi', 'Suriya', 'Ram Gopal Varma', 'Prashant Pandey']",Prashant Pandey,-2010,/title/tt1727535/
Adanga Maru,2 hours 25 minutes,7.1,2.4K,"['Action', 'Crime', 'Drama']","A sincere cop suspended from the department for locking horns with a few influential people in the society, starts taking revenge against those who finished off his dear ones.","['revenge', 'rape and revenge']",Karthik Thangavel,"['Viji', 'Jayam Ravi', 'Raashi Khanna', 'Ponvannan', 'Karthik Thangavel']",Karthik Thangavel,-2018,/title/tt8364418/
The Chairman,1 hour 33 minutes,5.5,1.3K,"['Action', 'Drama', 'Thriller']","During the Chinese Cultural Revolution, the US government sends a scientist to China to steal the formula for a new agricultural enzyme developed by the Chinese.","['explosion', 'exploding car', 'exploding truck', 'fire', 'shootout', 'gun battle', 'battlefield', 'battle', 'combat', 'machine gun']",J. Lee Thompson,"['Ben Maddow', 'Gregory Peck', 'Anne Heywood', 'Arthur Hill', 'J. Lee Thompson']",Jay Richard Kennedy,-1969,/title/tt0064148/
World War Four,not-released,2.9,168,"['Action', 'Sci-Fi', 'Thriller']",The Nuclear thriller that predicted the Ukraine war three years before it happened. The most chillingly real nuclear war film of the last ten years.,"['nuclear war', 'total war', 'battle scene', 'documentary style', 'realistic']",A.K. Strom,"['Morgan Bradley', 'Graham Vincent', 'Frederick Dodson', 'A.K. Strom', 'A.K. Strom']",A.K. Strom,-2019,/title/tt6395918/
No Means No,not-released,no-rating,0,"['Action', 'Drama', 'Romance']","No Means No is a cross-genre action-packed, teenage musical love story, a courtroom drama that's more like the thrill of a roller-coaster ride as each twist and turn begins to unravel to reach a conclusion that calls out for justice.",['courtroom drama'],Vikash Verma,"['Vikash Verma', 'Gulshan Grover', 'Sharad S. Kapoor', 'Anna Ador', 'Vikash Verma']",Hitesh Desai,-2022,/title/tt7624920/
River Queen,1 hour 54 minutes,5.9,2.6K,"['Action', 'Adventure', 'Drama']",An intimate story set during the 1860s in which a young Irish woman Sarah and her family find themselves on both sides of the turbulent wars between British and Maori during the British colonization of New Zealand.,"['timeframe 19th century', 'new zealand', 'maori', 'irish', 'colonization', 'voice over narration', 'topless female nudity', 'sex', 'love', 'exotica']",Vincent Ward,"['Toa Fraser', 'Kely Lyons', 'Samantha Morton', 'Kiefer Sutherland', 'Cliff Curtis']",Vincent Ward,-2005,/title/tt0388377/
M.A.S.K.: Mobile Armored Strike Kommand,not-released,no-rating,0,"['Action', 'Sci-Fi']",Matt Tracker leads a team of elite special agents with a fleet of hidden function vehicles against Miles Mayhem and his terrorist organization known as V.E.N.O.M.,"['shared universe', 'soldier', 'robot', 'futuristic car', 'car', 'team', 'hasbro', 'based on toy', 'hasbro cinematic universe']",F. Gary Gray,"['Michael Chabon', 'Cheo Hodari Coker', 'F. Gary Gray', 'Lindsey Beer', 'Michael Chabon']",Lindsey Beer,,/title/tt5663454/
Awarapan,2 hours 6 minutes,7.3,7.3K,"['Action', 'Crime', 'Drama']","A loyal henchman is ordered by his boss to keep an eye on his mistress, and trouble begins when he refuses to kill her.","['redemption', 'atheist', 'love', 'gangster', 'introvert', 'unrequited love', 'loss of loved one', 'hitman', 'dove', 'buddhist monastery']",Mohit Suri,"['Emraan Hashmi', 'Mrinalini Sharma', 'Ashish Vidyarthi', 'Mohit Suri', 'Shagufta Rafique']",Shagufta Rafique,-2007,/title/tt1020937/
30 jours max,1 hour 27 minutes,5.2,1.1K,"['Action', 'Comedy', 'Crime']","Rayane, a clumsy cop, finds that he only has 30 days left. He uses this time to try to become the hero of his police station.",[],Tarek Boudali,"['Pierre Dudan', 'Grégory Boutboul', 'Tarek Boudali', 'Philippe Lacheau', 'Julien Arruti']",Tarek Boudali,-2020,/title/tt11206302/
Hindustan Ki Kasam,2 hours 26 minutes,3.4,605,"['Action', 'Drama']","A pair of twins separated at birth. One grows up as a Hindu in India, while the other is raised a Muslim in Pakistan. They are forced to battle each other during an Indo-Pak war.","['terrorist', 'muslim', 'hindu', 'dual role', 'twins separated at birth', 'airport', 'writer', 'action hero', 'soldier', 'indian flag']",Veeru Devgan,"['Amitabh Bachchan', 'Ajay Devgn', 'Manisha Koirala', 'Veeru Devgan', 'Hriday Dubey']",Hriday Dubey,-1999,/title/tt0207513/
The Walking Dead,1 hour 28 minutes,4.8,831,"['Action', 'Drama', 'War']","1972 Vietnam, a small group of United States Marines relive flashbacks of their contrite lives prior to serving in the military while being left to survive behind enemy lines.","['timeframe 1970s', 'doggystyle sex', 'vietnam', 'black american', '1970s', 'african american', 'u.s. marine corps', 'prisoner of war', 'independent film']",Preston A. Whitmore II,"['Allen Payne', 'Eddie Griffin', 'Joe Morton', 'Preston A. Whitmore II', 'Preston A. Whitmore II']",Preston A. Whitmore II,-1995,/title/tt0114888/
Veeram,2 hours 41 minutes,6.5,8.2K,['Action'],"Vinayagam, an honest man, uses violence to settle disputes. He decides to mend his ways for his lover's sake. Hell breaks loose when he learns about a gang of rowdies following his lover's family.",['brother'],Siva,"['Bhupati Raja', 'Bharathan', 'Ajith Kumar', 'Tamannaah Bhatia', 'Vidharth']",Siva,-2014,/title/tt3320578/
Equalizer 2000,1 hour 25 minutes,4,628,"['Action', 'Adventure', 'Sci-Fi']","A ruthless vehicular gang rules the post-apocalyptic wasteland. That's until a muscled hero named Slade builds the ultimate machine gun - Equalizer 2000, and declares a one man war on the gang's ""piece of garbage"" leader.","['bazooka', 'soldier', 'post holocaust', 'alaska', 'tyrant', 'rebel', 'major', 'colonel', 'commander', 'low budget sci fi movie']",Cirio H. Santiago,"['Frederick Bailey', 'Richard Norton', 'Corinne Wahl', 'Robert Patrick', 'Cirio H. Santiago']",Joe Mari Avellana,-1987,/title/tt0091012/
