movie title,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,path,Popularity,Votes,Adult,Poster Image,Runtime,Taglines
Top Gun: Maverick,"['Action', 'Drama']","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground","[{'id': 2533, 'name': 'fighter pilot'}, {'id': 4410, 'name': 'u.s. navy'}, {'id': 9663, 'name': 'sequel'}, {'id': 160381, 'name': 'nuclear weapons'}, {'id': 162365, 'name': 'military'}]",Joseph Kosinski,"['Jack Epps Jr.', 'Peter Craig', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Jim Cash,/title/tt1745960/,165.641,7581.0,False,http://image.tmdb.org/t/p/w500/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,131.0,Feel the need... The need for speed.
Jurassic World Dominion,"['Action', 'Adventure', 'Sci-Fi']","Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with ... Read all","[{'id': 9663, 'name': 'sequel'}, {'id': 11100, 'name': 'giant monster'}, {'id': 12616, 'name': 'dinosaur'}, {'id': 170865, 'name': 'child kidnapping'}, {'id': 197063, 'name': 'jurassic'}, {'id': 242578, 'name': 'animal sanctuary'}]",Colin Trevorrow,"['Colin Trevorrow', 'Derek Connolly', 'Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Emily Carmichael,/title/tt8041270/,166.548,5238.0,False,http://image.tmdb.org/t/p/w500/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,147.0,The epic conclusion of the Jurassic era.
Top Gun,"['Action', 'Drama']","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.","[{'id': 697, 'name': 'loss of loved one'}, {'id': 725, 'name': 'lovesickness'}, {'id': 2533, 'name': 'fighter pilot'}, {'id': 2796, 'name': 'self-discovery'}, {'id': 3203, 'name': 'pilot'}, {'id': 3737, 'name': 'dying and death'}, {'id': 3777, 'name': 'training camp'}, {'id': 3779, 'name': 'air force'}, {'id': 3800, 'name': 'airplane'}, {'id': 3851, 'name': 'dangerous'}, {'id': 3994, 'name': 'battle assignment'}, {'id': 4410, 'name': 'u.s. navy'}, {'id': 6062, 'name': 'hostility'}, {'id': 7879, 'name': 'secret love'}, {'id': 13001, 'name': 'cowardliness'}, {'id': 207414, 'name': 'pilot school'}, {'id': 239275, 'name': 'based on magazine, newspaper or article'}]",Tony Scott,"['Jack Epps Jr.', 'Ehud Yonay', 'Tom Cruise', 'Tim Robbins', 'Kelly McGillis']",Jim Cash,/title/tt0092099/,61.215,7726.0,False,http://image.tmdb.org/t/p/w500/xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,110.0,Up there with the best of the best.
Lightyear,"['Animation', 'Action', 'Adventure']","While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.","[{'id': 3801, 'name': 'space travel'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 9743, 'name': 'stranded'}, {'id': 10158, 'name': 'alien planet'}, {'id': 15285, 'name': 'spin off'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 242214, 'name': 'origin story'}]",Angus MacLane,"['Jason Headley', 'Matthew Aldrich', 'Chris Evans', 'Keke Palmer', 'Peter Sohn']",Angus MacLane,/title/tt10298810/,54.742,3064.0,False,http://image.tmdb.org/t/p/w500/b9t3w1loraDh7hjdWmpc9ZsaYns.jpg,105.0,Infinity awaits.
Spiderhead,"['Action', 'Crime', 'Drama']","In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.","[{'id': 2629, 'name': 'psychological stress'}, {'id': 4565, 'name': 'dystopia'}, {'id': 9777, 'name': 'prison escape'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 18128, 'name': 'inmate'}, {'id': 156866, 'name': 'based on short story'}, {'id': 164218, 'name': 'psychotronic'}, {'id': 209304, 'name': 'drug testing'}]",Joseph Kosinski,"['Rhett Reese', 'Paul Wernick', 'Chris Hemsworth', 'Miles Teller', 'Jurnee Smollett']",George Saunders,/title/tt9783600/,36.996,1362.0,False,http://image.tmdb.org/t/p/w500/5hTK0J9SGPLSTFwcbU0ELlJsnAY.jpg,106.0,How far would you go to fix human nature?
Everything Everywhere All at Once,"['Action', 'Adventure', 'Comedy']","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.","[{'id': 456, 'name': 'mother'}, {'id': 490, 'name': 'philosophy'}, {'id': 779, 'name': 'martial arts'}, {'id': 780, 'name': 'kung fu'}, {'id': 2200, 'name': 'generations conflict'}, {'id': 3292, 'name': 'chinese woman'}, {'id': 6183, 'name': 'laundromat'}, {'id': 13159, 'name': 'chinese'}, {'id': 14988, 'name': 'east asian lead'}, {'id': 18035, 'name': 'family'}, {'id': 167888, 'name': 'hot dog'}, {'id': 179321, 'name': 'asian woman'}, {'id': 227943, 'name': 'chinese immigrant'}, {'id': 240315, 'name': 'mother daughter relationship'}, {'id': 280028, 'name': 'asian american'}, {'id': 293750, 'name': 'intergenerational trauma'}, {'id': 295011, 'name': 'internal revenue service'}]",Dan Kwan,"['Dan Kwan', 'Daniel Scheinert', 'Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']",Daniel Scheinert,/title/tt6710474/,73.625,5242.0,False,http://image.tmdb.org/t/p/w500/rKvCys0fMIIi1X9rmJBxTPLAtoU.jpg,140.0,The universe is so much bigger than you realize.
Interceptor,"['Action', 'Adventure', 'Drama']",One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,"[{'id': 13015, 'name': 'terrorism'}]",Matthew Reilly,"['Stuart Beattie', 'Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Matthew Reilly']",Matthew Reilly,/title/tt14174940/,29.997,643.0,False,http://image.tmdb.org/t/p/w500/cpWUtkcgRKeauhTyVMjYHxAutp4.jpg,98.0,The world's last defense.
Interceptor,"['Action', 'Sci-Fi', 'Thriller']","When Special forces agent Matvey Sobolev survives an explosion, he realizes he must master the art of absolute inner power before confronting his powerful rival, Kurylo, a cruel leader of a criminal syndicate.","[{'id': 13015, 'name': 'terrorism'}]",Konstantin Maksimov,"['Konstantin Maksimov', 'Larisa Stepanova', 'Igor Petrenko', 'Lyubov Tolkalina', 'Aleksandr Baluev']",Vasily Golovachov,/title/tt14174940/,29.997,643.0,False,http://image.tmdb.org/t/p/w500/cpWUtkcgRKeauhTyVMjYHxAutp4.jpg,98.0,The world's last defense.
Black Adam,"['Action', 'Fantasy', 'Sci-Fi']","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","[{'id': 952, 'name': 'lightning'}, {'id': 2095, 'name': 'anti hero'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 15001, 'name': 'demon'}, {'id': 155030, 'name': 'superhero team'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 229266, 'name': 'dc extended universe (dceu)'}]",Jaume Collet-Serra,"['Rory Haines', 'Sohrab Noshirvani', 'Sarah Shahi', 'Dwayne Johnson', 'Pierce Brosnan']",Adam Sztykiel,/title/tt6443346/,165.122,5482.0,False,http://image.tmdb.org/t/p/w500/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,124.0,Power born from rage.
The Northman,"['Action', 'Adventure', 'Drama']","From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.","[{'id': 1938, 'name': 'sword'}, {'id': 2123, 'name': 'father murder'}, {'id': 3071, 'name': 'prince'}, {'id': 5746, 'name': 'iceland'}, {'id': 5895, 'name': 'viking'}, {'id': 7005, 'name': 'northern ireland'}, {'id': 9725, 'name': 'sword fight'}, {'id': 9748, 'name': 'revenge'}, {'id': 10201, 'name': 'death of father'}, {'id': 10292, 'name': 'gore'}, {'id': 10855, 'name': 'fate'}, {'id': 13084, 'name': 'king'}, {'id': 14707, 'name': 'brutality'}, {'id': 185011, 'name': 'hamlet'}, {'id': 185343, 'name': 'based on myths, legends or folklore'}, {'id': 231370, 'name': 'nordic'}, {'id': 235499, 'name': '10th century'}, {'id': 274221, 'name': 'viking age'}, {'id': 283784, 'name': 'muscular men'}, {'id': 293198, 'name': 'fantasy'}, {'id': 296359, 'name': 'graphic violence'}]",Robert Eggers,"['Robert Eggers', 'Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Robert Eggers']",Sjón,/title/tt11138512/,62.844,3602.0,False,http://image.tmdb.org/t/p/w500/aSSJMnHknzKjlZ6zybwD7eyJ4Po.jpg,137.0,Conquer your fate.
