movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path,Popularity,Votes,Adult,Poster Image,Runtime,Taglines
The Colossus of New York,not-released,5.8,1.1K,"['Horror', 'Sci-Fi']","A brilliant surgeon encases his dead son's brain in a large robot body, with unintended results...","['brainwave', 'kaiju', 'gin martini', 'psychotronic film', 'creature feature', 'brain', 'robot', 'kill switch', 'united nations building', 'back from the dead', 'laboratory', 'doctor', 'robot', 'scientist', 'brain transplant']",Eugène Lourié,"['Willis Goldbeck', 'John Baragrey', 'Mala Powers', 'Otto Kruger', 'Eugène Lourié']",Thelma Schnee,-1958,/title/tt0051484/,3.134,31.0,False,http://image.tmdb.org/t/p/w500/9kSws2eCyBOFgu0JCYZpmFEgZ9u.jpg,70.0,Towering above the skyline ~ an indestructible creature whose eyes rain death and destruction!
Andover,not-released,5.5,5.2K,"['Comedy', 'Drama', 'Romance']","A genetics professor clones his dead wife, over and over, in a desperate attempt to get her back exactly as she was.","['cloning', 'genetics', 'college professor', 'grieving', 'dead wife', 'raised from the dead', 'geneticist', 'tied feet', 'tape over mouth', 'clone', 'loss of loved one', 'husband wife relationship', 'obsession', 'artist', 'grief', 'widower', 'in-laws', 'denial', 'true love', 'glass blowing', 'college student', 'death of wife', 'ethics', 'college professor', 'nature vs nurture', 'human cloning', 'genetic scientist', 'colleagues', 'scientific experiment', 'deep sadness', 'newlyweds']",Scott Perlman,"['Jonathan Silverman', 'Jennifer Finnigan', 'Richard Kind', 'Scott Perlman', 'Scott Perlman']",Scott Perlman,-2017,/title/tt5605076/,5.333,40.0,False,http://image.tmdb.org/t/p/w500/1FVXqYkHTMyCsqrBWJ7qUNKcwUT.jpg,91.0,
Cold Ground,not-released,5.3,4.1K,"['Horror', 'Mystery', 'Sci-Fi']",The lucky ones freeze to death.,"['hill', 'snow', 'forest', 'cold', 'ice', 'b horror', '1970s', 'mutation', 'b movie', 'handheld camera', 'found footage', 'cold weather']",Fabien Delage,"['Doug Rand', 'Philip Schurer', 'Gala Besson', 'Fabien Delage', 'Fabien Delage']",Fabien Delage,-2017,/title/tt4144350/,3.995,53.0,False,http://image.tmdb.org/t/p/w500/yBVtWhp6EEuPK7AyIaITrPAzZeJ.jpg,86.0,The lucky ones freeze to death.
S Club Seeing Double,1 hour 31 minutes,3.9,1.1K,"['Comedy', 'Drama', 'Musical']","When the members of S Club complain about how tough it is to stay on top, they find themselves replaced by lookalikes... or are they?","['bound and gagged', 'lip syncing', 'actress playing herself', 'actor playing himself', 'rock band', 'interrogation', 'clone']",Nigel Dick,"['Paul Alexander', 'Bradley McIntosh', 'Hannah Spearritt', ""Jo O'Meara"", 'Nigel Dick']",Kim Fuller,-2003,/title/tt0362107/,2.426,17.0,False,http://image.tmdb.org/t/p/w500/3xpVlA4dFZyZtwz0gQD7CoBn8yv.jpg,91.0,Join the club for double the fun
Cryptid,not-released,no-rating,0,"['Horror', 'Sci-Fi']","A small rural town in Maine is shocked as a mysterious animal leaves a local resident brutally ripped apart. Deemed to be a random bear attack by town officials, freelance journalist Max Frome suspects it might be something more.","['journalist', 'monster', 'cave', 'animal attack', 'giant lizard', 'forest', 'maine', 'reporter', 'creature', 'hunting', 'news reporter', 'man eating monster', 'animal monster', 'baby monster']",Brad Rego,"['Ellen Adair', ""Kevin O'Rourke"", 'Nicholas Baroudi', 'Brad Rego', 'Brad Rego']",Brad Rego,-2022,/title/tt4974812/,2.886,7.0,False,http://image.tmdb.org/t/p/w500/7co40dkpueinjxBOcVzxh3ZskLo.jpg,114.0,noun: cryp·​tid | krip-təd - an animal rumored to exist but never proven
Tribulation,not-released,4.7,919,"['Drama', 'Sci-Fi', 'Thriller']","Tom Canboro is a police detective with a Christian sister, Eileen, a brother, Calvin, a wife, Susan, and eccentric brother-in-law, Jason. One night, Jason seemingly goes insane and tries to kill Eileen, calling her a ""hater"". Tom soon realises this may be a conspiracy going as fa... Read all","['christian', 'messiah', 'hospital', 'antichrist', '666', 'mark of the beast', 'christian film', 'tragic event', 'future', 'dystopia', 'anti-christ', 'christian film']",André van Heerden,"['Paul Lalonde', 'Gary Busey', 'Howie Mandel', 'Nick Mancuso', 'André van Heerden']",Peter Lalonde,-2000,/title/tt0202236/,3.953,7.0,False,http://image.tmdb.org/t/p/w500/cTXjjh8Vku9DIBtmLrGu0cz5tNX.jpg,95.0,One man will need the end of the world... to find all that he has lost.
WifeLike,not-released,no-rating,0,['Sci-Fi'],,"['ai robots', 'futuristic', 'artificial intelligence (a.i.)', 'robot girl', 'near future', 'robot wife']",James Bird,"['Elena Kampouris', 'Doron Bell', 'Agam Darshi', 'James Bird', 'James Bird']",James Bird,-2022,/title/tt15978956/,41.985,167.0,False,http://image.tmdb.org/t/p/w500/tea2gDZPxw0wfKC2S2VRWHagtt4.jpg,106.0,
Demonwarp,1 hour 31 minutes,4.7,667,"['Horror', 'Mystery', 'Sci-Fi']","A man and his daughter are attacked in the woods by what they believe is a Bigfoot-type creature. However, they soon begin to suspect that they may have stumbled onto a nest of aliens in a hidden spacecraft.","['alien', 'sunbathing', 'female frontal nudity', 'bigfoot', 'stalker', 'female nudity', 'cabin', 'monster', 'forest', 'spaceship', 'space marine', 'camping', 'cave', 'bigfoot', 'nightmare', 'alien life-form', 'forest', 'zombie']",Emmett Alston,"['Jim Bertges', 'John Carl Buechler', 'George Kennedy', ""David Michael O'Neill"", 'Pamela Gilbert']",Bruce Akiyama,-1988,/title/tt0094998/,2.447,14.0,False,http://image.tmdb.org/t/p/w500/zg4jUEjRhHmTD1iu2MlpTfWXbn1.jpg,91.0,Enter a prime-evil world of future shock and alien terror.
The Exotic Time Machine,not-released,3.6,333,['Sci-Fi'],"A time machine transports two curious pleasure seekers to the deepest reaches of the erotic past, where they enjoy historical adventures beyond imagination.","['time travel', 'softcore', 'male nudity', 'male frontal nudity', 'female full frontal nudity', 'female nudity', 'erotica', 'independent film', 'psychotronic film', 'female rear nudity', 'woman director']",Felicia Sinclair,"['Gabriella Hall', 'Joseph Daniels', 'Nikki Fritz', 'Felicia Sinclair', 'Don Pascual']",Don Pascual,-1998,/title/tt0162315/,2.016,5.0,False,http://image.tmdb.org/t/p/w500/xPqMYlrDf5MDiA5SLREjPym9eVO.jpg,78.0,Take the ultimate pleasure trip.
How to Make a Monster,not-released,5.5,1.3K,"['Horror', 'Sci-Fi']","When a master monster make-up artist is sacked by the new bosses of American International studios, he uses his creations to exact revenge.","['fired', 'vengeance', 'monster', 'revenge', 'mind control', 'low budget film', 'b movie', 'interrogation', 'pink slip', 'amnesia', 'video game', 'monster', 'virtual reality']",Herbert L. Strock,"['Herman Cohen', 'Robert H. Harris', 'Paul Brinegar', 'Gary Conway', 'Herbert L. Strock']",Aben Kandel,-1958,/title/tt0051746/,5.995,32.0,False,http://image.tmdb.org/t/p/w500/1SYUhLRAe2hgw47aBWMxUG7f97X.jpg,91.0,What started out as a simple game... became a virtual nightmare.
